,,,Strategy A,,,Strategy B,,,Strategy C,,
benchmark,partition#,iteration#,area%,error%,time,area%,error%,time,area%,error%,time
adder,20,1,100.1312%,0.3893%,638.2556sec,85.3627%,1.1636%,232.8016sec,96.3983%,0.4057%,263.9969sec
adder,20,2,99.4227%,0.9465%,563.4290sec,83.0300%,1.5508%,158.9978sec,93.0795%,0.7882%,190.1178sec
adder,20,3,99.0554%,1.4986%,568.8975sec,83.2607%,2.1235%,164.7385sec,91.4073%,1.3389%,197.7953sec
adder,20,4,98.3994%,1.8825%,556.5325sec,82.7993%,1.9064%,161.8351sec,91.7932%,1.7282%,191.1824sec
benchmark,partition#,iteration#,area%,error%,time,area%,error%,time,area%,error%,time
priority,25,1,98.3350%,0.0000%,982.7315sec,58.1025%,0.0744%,385.6275sec,48.0783%,0.0744%,418.1168sec
priority,25,2,96.7189%,0.1622%,883.8569sec,43.0748%,3.2267%,292.7363sec,44.2350%,0.0744%,326.7918sec
priority,25,3,95.5436%,0.1622%,889.7984sec,36.2881%,3.2267%,277.9489sec,40.6817%,0.0744%,312.3825sec
priority,25,4,94.7600%,3.7156%,891.1966sec,35.5263%,3.2267%,263.6748sec,32.4873%,0.7267%,305.6667sec
benchmark,partition#,iteration#,area%,error%,time,area%,error%,time,area%,error%,time
ctrl,5,1,99.3213%,0.2193%,53.0215sec,99.1525%,0.2193%,28.5490sec,80.6854%,0.0000%,29.8469sec
ctrl,5,2,95.2489%,0.4389%,40.6029sec,100.4237%,0.4389%,16.4029sec,75.0779%,0.5074%,22.4861sec
ctrl,5,3,92.9864%,0.8037%,40.2443sec,98.3051%,0.4389%,16.1891sec,75.3894%,0.7267%,21.1635sec
ctrl,5,4,93.2127%,0.8037%,28.7912sec,100.0000%,0.5615%,18.2964sec,71.6511%,0.9463%,17.5592sec
benchmark,partition#,iteration#,area%,error%,time,area%,error%,time,area%,error%,time
dec,30,1,99.6181%,0.0017%,1052.1353sec,77.4920%,0.0973%,170.0462sec,77.4920%,0.0973%,185.9926sec
dec,30,2,99.2362%,0.0035%,1009.0825sec,54.9839%,0.1940%,114.0431sec,0.0000%,0.9722%,126.3237sec
dec,30,3,98.8543%,0.0047%,1011.5378sec,42.7653%,0.2437%,108.3339sec,0.0000%,0.9722%,91.3928sec
dec,30,4,98.4724%,0.0066%,1009.3702sec,30.1447%,0.2934%,109.7426sec,0.0000%,0.9722%,88.5807sec
benchmark,partition#,iteration#,area%,error%,time,area%,error%,time,area%,error%,time
int2float,5,1,87.8594%,0.0775%,68.4367sec,92.7649%,0.0775%,40.3248sec,92.4675%,2.5200%,42.4641sec
int2float,5,2,78.9137%,2.2263%,50.6318sec,83.9793%,2.5975%,24.6317sec,88.8312%,2.5975%,27.5535sec
int2float,5,3,76.6773%,2.2325%,49.1178sec,64.5995%,8.0762%,26.4627sec,69.3506%,8.0762%,24.8479sec
int2float,5,4,74.6006%,2.9925%,40.3177sec,56.5891%,10.2250%,24.9090sec,56.1039%,13.9700%,26.3894sec
benchmark,partition#,iteration#,area%,error%,time,area%,error%,time,area%,error%,time
router,8,1,86.6419%,0.0000%,98.4704sec,73.9931%,0.0000%,32.6141sec,63.9326%,1.6032%,35.1653sec
router,8,2,74.3970%,0.0000%,80.8584sec,6.4442%,0.0000%,26.5700sec,29.3258%,1.6032%,30.0156sec
router,8,3,62.9870%,0.0000%,68.6877sec,5.0633%,0.0000%,22.2431sec,25.2809%,1.6032%,24.3493sec
router,8,4,54.3599%,0.0000%,70.0111sec,4.7181%,0.0000%,19.1818sec,6.2921%,1.6032%,25.1026sec
benchmark,partition#,iteration#,area%,error%,time,area%,error%,time,area%,error%,time
cavlc,50,1,98.6140%,0.8967%,2069.4047sec,93.1435%,0.0450%,214.5751sec,94.7778%,0.0450%,254.5190sec
cavlc,50,2,97.6480%,1.1908%,1973.9281sec,88.6076%,0.9417%,182.3073sec,89.1111%,0.9417%,216.0025sec
cavlc,50,3,96.6821%,1.3133%,1979.0914sec,83.9662%,1.5675%,177.2782sec,85.6667%,1.5675%,207.1500sec
cavlc,50,4,95.7581%,3.0842%,1912.3821sec,80.4852%,2.8375%,177.5586sec,83.3333%,1.5917%,204.8813sec
benchmark,partition#,iteration#,area%,error%,time,area%,error%,time,area%,error%,time
i2c,100,1,98.7495%,0.0666%,10414.7682sec,98.1117%,0.6065%,860.3097sec,98.1407%,0.3964%,1024.6665sec
i2c,100,2,98.7283%,0.2406%,10301.0457sec,96.3841%,1.0018%,753.7336sec,96.6451%,0.7917%,938.8278sec
i2c,100,3,97.7533%,0.2406%,10337.6195sec,94.7770%,1.1794%,741.9613sec,95.2708%,0.9657%,914.5761sec
i2c,100,4,97.0326%,0.6359%,10383.4678sec,93.0494%,1.6208%,741.2571sec,91.6330%,0.9721%,895.0067sec
