benchmark,partition#,iteration#,area%,error%,time
adder,20,1,85.3627%,1.1636%,232.8016sec
adder,20,2,83.0300%,1.5508%,158.9978sec
adder,20,3,83.2607%,2.1235%,164.7385sec
adder,20,4,82.7993%,1.9064%,161.8351sec
benchmark,partition#,iteration#,area%,error%,time
priority,25,1,58.1025%,0.0744%,385.6275sec
priority,25,2,43.0748%,3.2267%,292.7363sec
priority,25,3,36.2881%,3.2267%,277.9489sec
priority,25,4,35.5263%,3.2267%,263.6748sec
benchmark,partition#,iteration#,area%,error%,time
ctrl,5,1,99.1525%,0.2193%,28.5490sec
ctrl,5,2,100.4237%,0.4389%,16.4029sec
ctrl,5,3,98.3051%,0.4389%,16.1891sec
ctrl,5,4,100.0000%,0.5615%,18.2964sec
benchmark,partition#,iteration#,area%,error%,time
dec,30,1,77.4920%,0.0973%,170.0462sec
dec,30,2,54.9839%,0.1940%,114.0431sec
dec,30,3,42.7653%,0.2437%,108.3339sec
dec,30,4,30.1447%,0.2934%,109.7426sec
benchmark,partition#,iteration#,area%,error%,time
int2float,5,1,92.7649%,0.0775%,40.3248sec
int2float,5,2,83.9793%,2.5975%,24.6317sec
int2float,5,3,64.5995%,8.0762%,26.4627sec
int2float,5,4,56.5891%,10.2250%,24.9090sec
benchmark,partition#,iteration#,area%,error%,time
router,8,1,73.9931%,0.0000%,32.6141sec
router,8,2,6.4442%,0.0000%,26.5700sec
router,8,3,5.0633%,0.0000%,22.2431sec
router,8,4,4.7181%,0.0000%,19.1818sec
benchmark,partition#,iteration#,area%,error%,time
cavlc,50,1,93.1435%,0.0450%,214.5751sec
cavlc,50,2,88.6076%,0.9417%,182.3073sec
cavlc,50,3,83.9662%,1.5675%,177.2782sec
cavlc,50,4,80.4852%,2.8375%,177.5586sec
benchmark,partition#,iteration#,area%,error%,time
i2c,100,1,98.1117%,0.6065%,860.3097sec
i2c,100,2,96.3841%,1.0018%,753.7336sec
i2c,100,3,94.7770%,1.1794%,741.9613sec
i2c,100,4,93.0494%,1.6208%,741.2571sec
