benchmark,partition#,iteration#,area%,error%,time
adder,20,1,96.3983%,0.4057%,263.9969sec
adder,20,2,93.0795%,0.7882%,190.1178sec
adder,20,3,91.4073%,1.3389%,197.7953sec
adder,20,4,91.7932%,1.7282%,191.1824sec
benchmark,partition#,iteration#,area%,error%,time
priority,25,1,48.0783%,0.0744%,418.1168sec
priority,25,2,44.2350%,0.0744%,326.7918sec
priority,25,3,40.6817%,0.0744%,312.3825sec
priority,25,4,32.4873%,0.7267%,305.6667sec
benchmark,partition#,iteration#,area%,error%,time
ctrl,5,1,80.6854%,0.0000%,29.8469sec
ctrl,5,2,75.0779%,0.5074%,22.4861sec
ctrl,5,3,75.3894%,0.7267%,21.1635sec
ctrl,5,4,71.6511%,0.9463%,17.5592sec
benchmark,partition#,iteration#,area%,error%,time
dec,30,1,77.4920%,0.0973%,185.9926sec
dec,30,2,0.0000%,0.9722%,126.3237sec
dec,30,3,0.0000%,0.9722%,91.3928sec
dec,30,4,0.0000%,0.9722%,88.5807sec
benchmark,partition#,iteration#,area%,error%,time
int2float,5,1,92.4675%,2.5200%,42.4641sec
int2float,5,2,88.8312%,2.5975%,27.5535sec
int2float,5,3,69.3506%,8.0762%,24.8479sec
int2float,5,4,56.1039%,13.9700%,26.3894sec
benchmark,partition#,iteration#,area%,error%,time
router,8,1,63.9326%,1.6032%,35.1653sec
router,8,2,29.3258%,1.6032%,30.0156sec
router,8,3,25.2809%,1.6032%,24.3493sec
router,8,4,6.2921%,1.6032%,25.1026sec
benchmark,partition#,iteration#,area%,error%,time
cavlc,50,1,94.7778%,0.0450%,254.5190sec
cavlc,50,2,89.1111%,0.9417%,216.0025sec
cavlc,50,3,85.6667%,1.5675%,207.1500sec
cavlc,50,4,83.3333%,1.5917%,204.8813sec
benchmark,partition#,iteration#,area%,error%,time
i2c,100,1,98.1407%,0.3964%,1024.6665sec
i2c,100,2,96.6451%,0.7917%,938.8278sec
i2c,100,3,95.2708%,0.9657%,914.5761sec
i2c,100,4,91.6330%,0.9721%,895.0067sec
