Benchmark,Partitions,Area
adder,1,912.358080
adder,2,836.308800
adder,3,831.643200
adder,4,876.432960
adder,5,847.972800
adder,6,843.307200
adder,7,844.473600
adder,8,844.706880
adder,9,873.167040
adder,10,856.837440
adder,11,859.636800
adder,12,880.398720
adder,13,869.901120
adder,14,860.569920
adder,15,880.632000
adder,16,906.059520
adder,17,898.594560
adder,18,896.261760
adder,19,888.563520
adder,20,889.030080
priority,1,329.158080
priority,2,341.055360
priority,3,346.654080
priority,4,373.014720
priority,5,378.846720
priority,6,405.207360
priority,7,388.644480
priority,8,400.541760
priority,9,401.241600
priority,10,406.840320
priority,11,404.274240
priority,12,406.840320
priority,13,400.308480
priority,14,406.607040
priority,15,404.507520
priority,16,415.238400
priority,17,422.236800
priority,18,431.801280
priority,19,436.233600
priority,20,428.068800
cavlc,1,219.983040
cavlc,2,251.242560
cavlc,3,281.568960
cavlc,4,301.397760
cavlc,5,300.697920
cavlc,6,321.226560
cavlc,7,356.918400
cavlc,8,339.422400
cavlc,9,349.686720
cavlc,10,375.814080
cavlc,11,371.381760
cavlc,12,390.044160
cavlc,13,403.107840
cavlc,14,405.907200
cavlc,15,397.275840
cavlc,16,391.210560
cavlc,17,418.504320
cavlc,18,410.572800
cavlc,19,418.271040
cavlc,20,436.233600
dec,1,290.200320
dec,2,466.793280
dec,3,447.431040
dec,4,462.594240
dec,5,439.966080
dec,6,445.798080
dec,7,449.763840
dec,8,458.628480
dec,9,443.465280
dec,10,427.135680
dec,11,426.669120
dec,12,433.200960
dec,13,438.799680
dec,14,446.731200
dec,15,433.200960
dec,16,445.098240
dec,17,432.501120
dec,18,439.499520
dec,19,429.935040
dec,20,437.166720
i2c,1,589.731840
i2c,2,624.957120
i2c,3,655.750080
i2c,4,710.570880
i2c,5,735.765120
i2c,6,740.430720
i2c,7,731.099520
i2c,8,730.166400
i2c,9,761.659200
i2c,10,788.019840
i2c,11,772.390080
i2c,12,808.081920
i2c,13,808.781760
i2c,14,845.640000
i2c,15,819.745920
i2c,16,808.315200
i2c,17,846.106560
i2c,18,845.406720
i2c,19,854.038080
i2c,20,879.232320
max,1,1690.813440
max,2,1582.571520
max,3,1614.297600
max,4,1638.792000
max,5,1682.182080
max,6,1657.454400
max,7,1690.346880
max,8,1686.614400
max,9,1705.510080
max,10,1731.170880
max,11,1747.500480
max,12,1715.774400
max,13,1791.590400
max,14,1742.135040
max,15,1747.500480
max,16,1827.282240
max,17,1806.986880
max,18,1761.264000
max,19,1848.744000
max,20,1799.521920
ctrl,1,59.486400
ctrl,2,67.884480
ctrl,3,96.111360
ctrl,4,92.145600
ctrl,5,103.109760
ctrl,6,95.411520
ctrl,7,104.042880
ctrl,8,106.375680
ctrl,9,102.409920
ctrl,10,115.007040
ctrl,11,113.374080
ctrl,12,114.540480
ctrl,13,124.104960
ctrl,14,128.070720
ctrl,15,123.405120
ctrl,16,117.339840
ctrl,17,132.036480
ctrl,18,125.271360
ctrl,19,130.870080
ctrl,20,130.170240
bar,1,1809.319680
bar,2,1885.368960
bar,3,1883.969280
bar,4,1964.217600
bar,5,2019.738240
bar,6,2004.808320
bar,7,2042.599680
bar,8,2261.649600
bar,9,2301.773760
bar,10,2193.765120
bar,11,2170.437120
bar,12,2258.383680
bar,13,2133.812160
bar,14,2126.580480
bar,15,2069.426880
bar,16,2050.764480
bar,17,2012.973120
bar,18,2088.322560
bar,19,2099.753280
bar,20,2044.932480
router,1,205.053120
router,2,200.387520
router,3,211.118400
router,4,230.247360
router,5,223.015680
router,6,226.048320
router,7,233.046720
router,8,251.475840
router,9,248.443200
router,10,233.280000
router,11,249.842880
router,12,251.242560
router,13,232.113600
router,14,245.177280
router,15,230.480640
router,16,231.647040
router,17,239.811840
router,18,244.010880
router,19,236.779200
router,20,238.878720
