Benchmark,Partitions,Area
adder,1,910.025280
adder,2,910.025280
adder,3,910.025280
adder,4,910.025280
adder,5,910.025280
adder,6,910.025280
adder,7,910.025280
adder,8,910.025280
adder,9,910.025280
adder,10,910.025280
adder,11,910.025280
adder,12,910.025280
adder,13,910.025280
adder,14,910.025280
adder,15,910.025280
adder,16,910.025280
adder,17,910.025280
adder,18,910.025280
adder,19,910.025280
adder,20,910.025280
priority,1,336.856320
priority,2,336.856320
priority,3,336.856320
priority,4,336.856320
priority,5,336.856320
priority,6,336.856320
priority,7,336.856320
priority,8,336.856320
priority,9,336.856320
priority,10,336.856320
priority,11,336.856320
priority,12,336.856320
priority,13,336.856320
priority,14,336.856320
priority,15,336.856320
priority,16,336.856320
priority,17,336.856320
priority,18,336.856320
priority,19,337.322880
priority,20,336.856320
cavlc,1,211.818240
cavlc,2,210.885120
cavlc,3,207.852480
cavlc,4,209.018880
cavlc,5,216.483840
cavlc,6,210.651840
cavlc,7,215.084160
cavlc,8,212.984640
cavlc,9,211.818240
cavlc,10,221.616000
cavlc,11,209.718720
cavlc,12,206.452800
cavlc,13,216.017280
cavlc,14,212.984640
cavlc,15,210.885120
cavlc,16,212.751360
cavlc,17,221.149440
cavlc,18,204.120000
cavlc,19,216.717120
cavlc,20,210.885120
dec,1,290.200320
dec,2,290.200320
dec,3,290.200320
dec,4,290.200320
dec,5,290.200320
dec,6,290.200320
dec,7,290.200320
dec,8,290.200320
dec,9,290.200320
dec,10,290.200320
dec,11,290.200320
dec,12,290.200320
dec,13,290.200320
dec,14,290.200320
dec,15,290.200320
dec,16,290.200320
dec,17,290.200320
dec,18,290.200320
dec,19,290.200320
dec,20,290.200320
i2c,1,579.700800
i2c,2,578.767680
i2c,3,581.100480
i2c,4,579.234240
i2c,5,585.066240
i2c,6,582.966720
i2c,7,588.332160
i2c,8,591.598080
i2c,9,586.699200
i2c,10,568.503360
i2c,11,581.800320
i2c,12,586.932480
i2c,13,595.563840
i2c,14,577.601280
i2c,15,589.731840
i2c,16,589.731840
i2c,17,576.901440
i2c,18,567.570240
i2c,19,583.433280
i2c,20,585.766080
max,1,1872.072000
max,2,1872.072000
max,3,1872.072000
max,4,1872.072000
max,5,1872.072000
max,6,1872.072000
max,7,1872.072000
max,8,1872.072000
max,9,1872.072000
max,10,1872.072000
max,11,1872.072000
max,12,1872.072000
max,13,1872.072000
max,14,1872.072000
max,15,1872.072000
max,16,1872.072000
max,17,1872.072000
max,18,1872.072000
max,19,1870.439040
max,20,1872.072000
ctrl,1,55.054080
ctrl,2,55.054080
ctrl,3,56.220480
ctrl,4,63.452160
ctrl,5,55.054080
ctrl,6,53.887680
ctrl,7,56.687040
ctrl,8,54.354240
ctrl,9,66.484800
ctrl,10,54.354240
ctrl,11,59.719680
ctrl,12,54.354240
ctrl,13,53.187840
ctrl,14,56.453760
ctrl,15,53.187840
ctrl,16,56.920320
ctrl,17,56.220480
ctrl,18,59.486400
ctrl,19,54.354240
ctrl,20,55.520640
bar,1,1960.251840
bar,2,1961.418240
bar,3,1961.418240
bar,4,1960.251840
bar,5,1960.251840
bar,6,1996.410240
bar,7,1961.418240
bar,8,1961.418240
bar,9,1961.418240
bar,10,1962.584640
bar,11,1970.749440
bar,12,1964.917440
bar,13,1962.584640
bar,14,1970.282880
bar,15,1964.917440
bar,16,1962.584640
bar,17,1963.984320
bar,18,1966.083840
bar,19,1963.051200
bar,20,1968.183360
router,1,204.819840
router,2,205.986240
router,3,225.581760
router,4,207.619200
router,5,215.784000
router,6,204.120000
router,7,200.154240
router,8,202.720320
router,9,203.186880
router,10,211.818240
router,11,202.487040
router,12,207.619200
router,13,208.785600
router,14,199.920960
router,15,223.715520
router,16,200.854080
router,17,200.620800
router,18,212.518080
router,19,196.188480
router,20,212.984640
