Benchmark,Partitions,Area
adder,1,906.759360
adder,2,906.759360
adder,3,906.759360
adder,4,906.759360
adder,5,906.759360
adder,6,906.759360
adder,7,906.759360
adder,8,906.759360
adder,9,906.759360
adder,10,906.759360
adder,11,906.759360
adder,12,906.759360
adder,13,906.759360
adder,14,906.759360
adder,15,906.759360
adder,16,906.759360
adder,17,906.759360
adder,18,906.759360
adder,19,906.759360
adder,20,906.759360
priority,1,321.693120
priority,2,321.693120
priority,3,321.693120
priority,4,321.693120
priority,5,321.693120
priority,6,321.693120
priority,7,321.693120
priority,8,321.693120
priority,9,321.693120
priority,10,321.693120
priority,11,321.693120
priority,12,321.693120
priority,13,321.693120
priority,14,321.693120
priority,15,321.693120
priority,16,321.693120
priority,17,320.293440
priority,18,321.693120
priority,19,321.693120
priority,20,321.693120
cavlc,1,213.217920
cavlc,2,213.217920
cavlc,3,213.451200
cavlc,4,210.885120
cavlc,5,222.782400
cavlc,6,209.018880
cavlc,7,220.682880
cavlc,8,210.885120
cavlc,9,213.917760
cavlc,10,212.284800
cavlc,11,206.452800
cavlc,12,221.616000
cavlc,13,210.418560
cavlc,14,219.283200
cavlc,15,207.152640
cavlc,16,223.948800
cavlc,17,216.250560
cavlc,18,216.950400
cavlc,19,207.852480
cavlc,20,210.651840
dec,1,290.200320
dec,2,290.200320
dec,3,290.200320
dec,4,290.200320
dec,5,290.200320
dec,6,290.200320
dec,7,290.200320
dec,8,290.200320
dec,9,290.200320
dec,10,290.200320
dec,11,290.200320
dec,12,290.200320
dec,13,290.200320
dec,14,290.200320
dec,15,290.200320
dec,16,290.200320
dec,17,290.200320
dec,18,290.200320
dec,19,290.200320
dec,20,290.200320
i2c,1,588.798720
i2c,2,590.898240
i2c,3,590.898240
i2c,4,586.465920
i2c,5,587.165760
i2c,6,592.297920
i2c,7,586.232640
i2c,8,584.599680
i2c,9,599.996160
i2c,10,595.330560
i2c,11,590.198400
i2c,12,583.666560
i2c,13,586.232640
i2c,14,595.563840
i2c,15,581.333760
i2c,16,588.098880
i2c,17,587.399040
i2c,18,591.364800
i2c,19,588.098880
i2c,20,594.397440
max,1,1738.169280
max,2,1738.169280
max,3,1738.169280
max,4,1738.169280
max,5,1738.169280
max,6,1738.169280
max,7,1738.169280
max,8,1738.169280
max,9,1738.169280
max,10,1738.169280
max,11,1738.169280
max,12,1738.169280
max,13,1738.169280
max,14,1738.169280
max,15,1738.169280
max,16,1738.169280
max,17,1738.169280
max,18,1738.169280
max,19,1738.169280
max,20,1738.169280
ctrl,1,58.786560
ctrl,2,73.249920
ctrl,3,73.016640
ctrl,4,70.683840
ctrl,5,74.882880
ctrl,6,59.253120
ctrl,7,73.016640
ctrl,8,58.553280
ctrl,9,73.016640
ctrl,10,61.352640
ctrl,11,71.616960
ctrl,12,58.553280
ctrl,13,59.253120
ctrl,14,60.652800
ctrl,15,60.652800
ctrl,16,69.984000
ctrl,17,71.383680
ctrl,18,74.882880
ctrl,19,59.719680
ctrl,20,71.850240
bar,1,1969.349760
bar,2,1975.181760
bar,3,1974.248640
bar,4,1974.248640
bar,5,1970.516160
bar,6,1998.509760
bar,7,1992.211200
bar,8,1970.516160
bar,9,1969.349760
bar,10,1975.181760
bar,11,1989.645120
bar,12,1971.682560
bar,13,1970.516160
bar,14,1971.449280
bar,15,1977.048000
bar,16,1977.514560
bar,17,1967.716800
bar,18,1970.516160
bar,19,1973.315520
bar,20,1974.015360
router,1,210.651840
router,2,210.651840
router,3,210.651840
router,4,207.619200
router,5,210.651840
router,6,213.217920
router,7,207.619200
router,8,207.619200
router,9,227.214720
router,10,210.651840
router,11,211.818240
router,12,211.818240
router,13,223.948800
router,14,223.948800
router,15,207.619200
router,16,207.619200
router,17,228.147840
router,18,228.147840
router,19,212.518080
router,20,212.518080
